INDEX,NAME_JA,LONGITUDE,LATITUDE,NAME_EN
224,ロメ,1.216667,6.116666667,Lome
225,ロングイェールビーン,15.633333,78.21666667,Longyearbyen
226,ルアンダ,13.216667,-8.833333333,Luanda
227,ルサカ,28.283333,-15.41666667,Lusaka
228,ルクセンブルク,6.116667,49.6,Luxembourg
229,マドリード,-3.683333,40.4,Madrid
230,マジュロ,171.383333,7.1,Majuro
231,マラボ,8.783333,3.75,Malabo
232,マーレ,73.5,4.166666667,Male
233,マナグア,-86.25,12.13333333,Managua
234,マナーマ,50.566667,26.23333333,Manama
235,マンハッタン,-73.966,40.783,Manhattan
236,マニラ,120.966667,14.6,Manila
237,マプト,32.583333,-25.95,Maputo
238,マリエハムン,19.9,60.116667,Mariehamn
239,マリエハムン,19.9,60.116667,Mariehamn
240,マリゴ,-63.0822,18.0731,Marigot
241,マセル,27.483333,-29.31666667,Maseru
242,マタウツ,-171.933333,-13.95,Mata-Utu
243,ムババネ,31.133333,-26.31666667,Mbabane
244,メレケオク,134.633333,7.483333333,Melekeok
245,メキシコシティ,-99.133333,19.43333333,Mexico City
246,ミンスク,27.566667,53.9,Minsk
247,モガディシュ,45.333333,2.066666667,Mogadishu
248,モナコ,7.416667,43.73333333,Monaco
249,モンロビア,-10.8,6.3,Monrovia
250,モンテビデオ,-56.166667,-34.85,Montevideo
251,モロニ,43.233333,-11.7,Moroni
252,モスクワ,37.6,55.75,Moscow
253,マスカット,58.583333,23.61666667,Muscat
254,ナイロビ,36.816667,-1.283333333,Nairobi
255,ナッソー,-77.35,25.08333333,Nassau
256,ニューデリー,77.2,28.6,New Delhi
257,ニアメ,2.116667,13.51666667,Niamey
258,ニコシア,33.366667,35.16666667,Nicosia
259,北ニコシア,33.366667,35.183333,North Nicosia
260,ヌアクショット,-15.966667,18.06666667,Nouakchott
261,ヌメア,166.45,-22.26666667,Noumea
262,ヌクアロファ,-175.2,-21.13333333,Nuku’alofa
263,ヌーク,-51.75,64.18333333,Nuuk
264,ンジャメナ,15.033333,12.1,N’Djamena
265,オラニエスタッド,-70.033333,12.51666667,Oranjestad
266,オスロ,10.75,59.91666667,Oslo
267,オタワ,-75.7,45.41666667,Ottawa
268,ワガドゥグー,-1.516667,12.36666667,Ouagadougou
269,パゴパゴ,-170.7,-14.26666667,Pago Pago
270,パゴパゴ,-170.7,-14.26666667,Pago Pago
271,パリキール,158.15,6.916666667,Palikir
272,パナマシティ,-79.533333,8.966666667,Panama City
273,パペーテ,-149.566667,-17.53333333,Papeete
274,パラマリボ,-55.166667,5.833333333,Paramaribo
275,フィラデルフィア,-75.164,39.952,Philadelphia
276,フィリップスバーグ,-63.033333,18.01666667,Philipsburg
277,プノンペン,104.916667,11.55,Phnom Penh
278,フェニックス,-112.074,33.448,Phoenix
279,プリマス,-62.216667,16.7,Plymouth
280,ポドゴリツァ,19.266667,42.43333333,Podgorica
281,ポートルイス,57.483333,-20.15,Port Louis
282,ポートモレスビー,147.183333,-9.45,Port Moresby
283,ポートオブスペイン,-61.516667,10.65,Port of Spain
284,ポートビラ,168.316667,-17.73333333,Port-Vila
285,ポルトープランス,-72.333333,18.53333333,Port-au-Prince
286,ポール・オー・フランセ,70.216667,-49.35,Port-aux-FranÃ§ais
287,ポルトノボ,2.616667,6.483333333,Porto-Novo
288,プラハ,14.466667,50.08333333,Prague
289,プライア,-23.516667,14.91666667,Praia
290,プレトリア,28.216667,-25.7,Pretoria
291,プリシュティナ,21.166667,42.66666667,Pristina
292,平壌,125.75,39.01666667,Pyongyang
293,キト,-78.5,-0.216666667,Quito
294,ラバト,-6.816667,34.01666667,Rabat
295,ラングーン,96.15,16.8,Rangoon
296,レイキャビク,-21.95,64.15,Reykjavik
297,リガ,24.1,56.95,Riga
298,リヤド,46.7,24.65,Riyadh
299,ロードタウン,-64.616667,18.41666667,Road Town
300,ローマ,12.483333,41.9,Rome
301,ローゾー,-61.4,15.3,Roseau
302,セントジョージズ,-61.75,12.05,Saint George’s
303,セントヘリア,-2.1,49.18333333,Saint Helier
304,セントジョンズ,-61.85,17.11666667,Saint John’s
305,セントピーター・ポート,-2.533333,49.45,Saint Peter Port
306,サンピエール,-56.183333,46.76666667,Saint-Pierre
307,サイパン,145.75,15.2,Saipan
308,サンアントニオ,-98.494,29.424,San Antonio
309,サンディエゴ,-117.165,32.716,San Diego
310,サンノゼ,-84.083333,9.933333333,San Jose
311,サンファン,-66.116667,18.46666667,San Juan
312,サンマリノ,12.416667,43.93333333,San Marino
313,サンサルバドル,-89.2,13.7,San Salvador
314,サナア,44.2,15.35,Sanaa
315,サンティアゴ,-70.666667,-33.45,Santiago
316,サントドミンゴ,-69.9,18.46666667,Santo Domingo
317,サントメ,6.733333,0.333333333,Sao Tome
318,サラエボ,18.416667,43.86666667,Sarajevo
319,シアトル,-122.335,47.608,Seattle
320,ソウル,126.983333,37.55,Seoul
321,シンガポール,103.85,1.283333333,Singapore
322,スコピエ,21.433333,42,Skopje
323,ソフィア,23.316667,42.68333333,Sofia
324,スタンレー,-57.85,-51.7,Stanley
325,ストックホルム,18.05,59.33333333,Stockholm
326,スバ,178.416667,-18.13333333,Suva
327,台北,121.516667,25.03333333,Taipei
328,タリン,24.716667,59.43333333,Tallinn
329,タラワ,169.533333,-0.883333333,Tarawa
330,タシケント,69.25,41.31666667,Tashkent
331,トビリシ,44.833333,41.68333333,Tbilisi
332,テグシガルパ,-87.216667,14.1,Tegucigalpa
333,テヘラン,51.416667,35.7,Tehran
334,ザ・セトルメント,105.716667,-10.41666667,The Settlement
335,ザ・バレー,-63.05,18.21666667,The Valley
336,ティンプー,89.633333,27.46666667,Thimphu
337,ティラナ,19.816667,41.31666667,Tirana
338,ティラナ,19.816667,41.31666667,Tirana
339,トルスハウン,-6.766667,62,Torshavn
340,トリポリ,13.166667,32.88333333,Tripoli
341,チュニス,10.183333,36.8,Tunis
342,ウランバートル,106.916667,47.91666667,Ulaanbaatar
343,ファドゥーツ,9.516667,47.13333333,Vaduz
344,ヴァレッタ,14.5,35.88333333,Valletta
345,バチカン市国,12.45,41.9,Vatican City
346,ビクトリア,55.45,-4.616666667,Victoria
347,ウィーン,16.366667,48.2,Vienna
348,ヴィエンチャン,102.6,17.96666667,Vientiane
349,ヴィリニュス,25.316667,54.68333333,Vilnius
350,ワルシャワ,21,52.25,Warsaw
351,ワシントン,120.74,47.751,Washington
352,ワシントンD.C.,-77,38.883333,"Washington, D.C."
353,ワシントンD.C.,-77,38.883333,"Washington, D.C."
354,ウェリントン,174.783333,-41.3,Wellington
355,ウエストアイランド,96.833333,-12.16666667,West Island
356,ウィレムスタット,-68.916667,12.1,Willemstad
357,ウィントフック,17.083333,-22.56666667,Windhoek
358,ヤムスクロ,-5.266667,6.816666667,Yamoussoukro
359,ヤウンデ,11.516667,3.866666667,Yaounde
360,ヤレン,166.920867,-0.5477,Yaren
361,エレバン,44.5,40.16666667,Yerevan
362,ザグレブ,16,45.8,Zagreb
